STT,Code,Name,Note,SL BÁN 3 THÁNG,SL BÁN 6 THÁNG,TỒN KHO,BQ BÁN/NGÀY,NGÀY TỒN,Order Forecast
216.0,6977364830090,"C20-L - LƯỢC LƯỚI MASSAGE & GỠ RỐI TÓC ƯỚT, TÍM (Vacosi Hollow Out Paddle Detangler, Lilac)",Bỏ mẫu,51.0,51.0,2627.0,0.2833333333333333,9271.764705882353,
217.0,6977364830106,"C21-H - LƯỢC GỘI & MASSAGE ĐẦU RĂNG SILICONE CÓ TAY CẦM, HỒNG  (Vacosi Massage & Shampoo Comb, Pink)",,56.0,56.0,1422.0,0.3111111111111111,4570.714285714285,
218.0,6977364830113,"C21-X - LƯỢC GỘI & MASSAGE ĐẦU RĂNG SILICONE CÓ TAY CẦM, XANH DƯƠNG  (Vacosi Massage & Shampoo Comb, Blue)",Bỏ mẫu,16.0,16.0,1563.0,0.08888888888888889,17583.75,
219.0,6977364830137,"C22-H - LƯỢC GỘI & MASSAGE DA ĐẦU ĐÀN HỒI, HỒNG (Vacosi Detangling Shampoo Brush, Pink)",Bỏ mẫu,347.0,347.0,9682.0,1.9277777777777778,5022.36311239193,
220.0,6977364830120,"C22-X - LƯỢC GỘI & MASSAGE DA ĐẦU ĐÀN HỒI, XANH LÁ (Vacosi Detangling Shampoo Brush, Green)",Bỏ mẫu,210.0,210.0,8050.0,1.1666666666666667,6900.0,
221.0,2200685000007-01,P01 - CHÀ GÓT CHÂN 2 MẶT (Vacosi Foot Peeling),,369.0,369.0,2021.0,2.05,985.8536585365855,
222.0,2200685000007-02,P02 - CHÀ GÓT CHÂN (Vacosi Foot Peeling),,496.0,496.0,2537.0,2.7555555555555555,920.6854838709678,
223.0,2200686000006-01,S01 - KÉO TỈA MŨI TRÒN (Vacosi Scissors),,65.0,65.0,3119.0,0.3611111111111111,8637.23076923077,
224.0,2200686000006-02,S02 - KÉO TỈA MŨI CONG (VACOSI CURVED SCISSORS),,1.0,1.0,1555.0,0.005555555555555556,279900.0,
225.0,2200686000006-03,"S03 - KÉO TỈA MŨI NHỌN, CONG (Vacosi Curved Scissors)",,23.0,23.0,701.0,0.12777777777777777,5486.08695652174,
226.0,2200686000006-04,"S04 - KÉO TỈA MŨI NHỌN, THẲNG (Vacosi Cuticle Scissors)",,25.0,25.0,249.0,0.1388888888888889,1792.8,
227.0,2200672000003,BP26 - BÔNG BỌT BIỂN RỬA MẶT (Vacosi Cleansing Sponge),,934.0,934.0,1872.0,5.188888888888889,360.7708779443255,
228.0,2200682000000-07,T07 - NHÍP GẮN MỤN (Vacosi Blackhead Tweezers),,254.0,254.0,5270.0,1.4111111111111112,3734.6456692913384,
229.0,2260301000002,BM01 - BẤM MI CLASSIC LÒ XO  (Vacosi Classic Lash Curler),,2578.0,2578.0,12223.0,14.322222222222223,853.4290147401085,
230.0,2260300000003,BM02 - BẤM MI FULL THÂN XÁM (Vacosi Full Lash Curler),,569.0,569.0,7436.0,3.161111111111111,2352.3374340949035,
231.0,2200649000005,BM03 - BẤM MI MORDERN CÁN ĐEN (Vacosi Mordern Lash Curler),,1903.0,1903.0,5066.0,10.572222222222223,479.1802417235943,
232.0,8809399372130,BM04 - BẤM MI PRO CLASSIC (Vacosi Pro Classic Curler),Bỏ mẫu,173.0,173.0,1924.0,0.9611111111111111,2001.849710982659,
233.0,8809399372369,,,0.0,0.0,0.0,,,
234.0,6970758092883,BM10 - BẤM MI MINI VACOSI BỎ TÚI (Vacosi Mini Portable Curler),,97.0,97.0,4694.0,0.5388888888888889,8710.515463917527,
235.0,6970758092975,"BM08 - BẤM MI VACOSI PRO CLASSIC VÀNG TÍM (Vacosi Pro Classic Curler, Violet Gold)",,738.0,738.0,3980.0,4.1,970.7317073170733,
236.0,6970758093064,BM11 - BẤM MI VACOSI FORCE LÒ XO (Vacosi Force Eyelash Curler),,277.0,277.0,3904.0,1.538888888888889,2536.8953068592054,
237.0,6970758093071,BM12 - BẤM MI VACOSI TITAN GÓC RỘNG (Vacosi Titan Eyelash Curler),,240.0,240.0,1559.0,1.3333333333333333,1169.25,
238.0,6970758092999,BM13 - BẤM MI VACOSI LAPIS CÁN ĐEN (Vacosi Lapis Eyelash Curler),,297.0,297.0,4173.0,1.65,2529.090909090909,
239.0,6970758092982,BM14 - BẤM MI VACOSI SPACE TINH TẾ (Vacosi Space Eyelash Curler),,62.0,62.0,3385.0,0.34444444444444444,9827.41935483871,
240.0,2200812000009,VM16 - MIẾNG DÁN MÍ DẠNG LƯỚI (Vacosi Invisible Fiber Tape),Bỏ mẫu,40.0,40.0,528.0,0.2222222222222222,2376.0,
